rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
143,349.45556221008303,16.866335733328103,0.02191052436828613,0.006920622856085195,5.699999999999994,False,l1,saga,"{'C': np.float64(5.699999999999994), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.9357278258966153,0.9266518605399164,0.9146411749141935,0.9678149045134452,0.9432937559915416,0.9376259043711425,0.01786521984022076
191,3.664910984039307,0.3227608783841767,0.018800067901611327,0.001251911312195567,5.699999999999994,False,l2,liblinear,"{'C': np.float64(5.699999999999994), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9337998856222298,0.9308436349110538,0.911457588870468,0.9669219934495288,0.9400953758275681,0.9366236957361697,0.017915107303401217
190,13.514350271224975,0.2701402551959096,0.01886286735534668,0.0008714507745893352,5.699999999999994,False,l2,saga,"{'C': np.float64(5.699999999999994), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'saga'}",0.9337981552474912,0.9308506581967575,0.9114540772276161,0.9669226871073762,0.9400950297457337,0.936624121504995,0.017915916802456713
109,5.247230768203735,0.4035268019040735,0.01979827880859375,0.002456095595994057,5.799999999999994,True,l1,liblinear,"{'C': np.float64(5.799999999999994), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.9453860422782461,0.9214517677805207,0.9390604022946721,0.9768012419250098,0.9638446577077616,0.9493088223972421,0.01930573723039386
79,251.06832451820372,25.203633373479246,0.019448614120483397,0.00160474969208951,5.799999999999994,True,l1,saga,"{'C': np.float64(5.799999999999994), 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.9446452255932806,0.9273312984013311,0.9414794473298442,0.9777319573416032,0.9652541624992645,0.9512884182330648,0.017936522978299063
56,4.17379059791565,0.44803156084513884,0.02202925682067871,0.004863731850824505,5.799999999999994,True,l2,liblinear,"{'C': np.float64(5.799999999999994), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.9433069537704434,0.927505276460153,0.9421019185405508,0.9783963081448395,0.9670921382320063,0.9516805190295987,0.018425851026531704
18,22.838006687164306,1.285231557139177,0.021067380905151367,0.004140643983605327,5.799999999999994,True,l2,saga,"{'C': np.float64(5.799999999999994), 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.9430791499361059,0.9294891812570009,0.9420716143633476,0.9784305141474336,0.9671129464023063,0.9520366812212387,0.017954708948849273
207,3.8310922622680663,0.6811529976025851,0.021654272079467775,0.003621851013009892,5.799999999999994,False,l1,liblinear,"{'C': np.float64(5.799999999999994), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'liblinear'}",0.9365749308498996,0.922774920124215,0.9122963946222962,0.9672552960451488,0.9424145999813116,0.9362632283245741,0.01873386435918023
145,365.3598391532898,19.887072883252134,0.018812847137451173,0.001200531573245035,5.799999999999994,False,l1,saga,"{'C': np.float64(5.799999999999994), 'fit_intercept': False, 'penalty': 'l1', 'solver': 'saga'}",0.935680456888146,0.9265068860498341,0.9146022000138991,0.9678192398749907,0.9432655935822585,0.9375748752818257,0.01789379154944292
189,3.666445589065552,0.28264750627282087,0.018249320983886718,0.0010688432634855278,5.799999999999994,False,l2,liblinear,"{'C': np.float64(5.799999999999994), 'fit_intercept': False, 'penalty': 'l2', 'solver': 'liblinear'}",0.9337854369931625,0.9308116399428478,0.9115645855934115,0.9669882377739445,0.9401810743418388,0.936666194929041,0.017913380647910787
